date,channel,spend
2010-12-01,search,259.04
2010-12-01,display,114.93
2010-12-01,social,43.9
2010-12-01,email,45.44
2010-12-02,search,263.08
2010-12-02,display,122.69
2010-12-02,social,46.77
2010-12-02,email,48.6
2010-12-03,search,255.68
2010-12-03,display,109.82
2010-12-03,social,45.66
2010-12-03,email,47.77
2010-12-04,search,228.94
2010-12-04,display,92.49
2010-12-04,social,39.67
2010-12-04,email,41.98
2010-12-05,search,233.91
2010-12-05,display,97.07
2010-12-05,social,38.97
2010-12-05,email,39.97
2010-12-06,search,237.7
2010-12-06,display,107.13
2010-12-06,social,44.82
2010-12-06,email,48.1
2010-12-07,search,251.23
2010-12-07,display,116.17
2010-12-07,social,48.03
2010-12-07,email,45.41
2010-12-08,search,243.56
2010-12-08,display,120.73
2010-12-08,social,43.74
2010-12-08,email,44.8
2010-12-09,search,268.35
2010-12-09,display,105.76
2010-12-09,social,50.77
2010-12-09,email,47.61
2010-12-10,search,266.83
2010-12-10,display,118.11
2010-12-10,social,44.92
2010-12-10,email,43.82
2010-12-11,search,231.32
2010-12-11,display,105.09
2010-12-11,social,42.66
2010-12-11,email,43.76
2010-12-12,search,248.56
2010-12-12,display,107.05
2010-12-12,social,40.49
2010-12-12,email,42.5
2010-12-13,search,280.2
2010-12-13,display,112.11
2010-12-13,social,46.13
2010-12-13,email,40.55
2010-12-14,search,251.86
2010-12-14,display,117.92
2010-12-14,social,46.56
2010-12-14,email,47.59
2010-12-15,search,239.89
2010-12-15,display,107.31
2010-12-15,social,47.42
2010-12-15,email,46.23
2010-12-16,search,247.94
2010-12-16,display,121.79
2010-12-16,social,44.26
2010-12-16,email,46.39
2010-12-17,search,246.02
2010-12-17,display,113.79
2010-12-17,social,48.65
2010-12-17,email,44.37
2010-12-18,search,237.01
2010-12-18,display,106.13
2010-12-18,social,45.04
2010-12-18,email,41.48
2010-12-19,search,256.4
2010-12-19,display,96.41
2010-12-19,social,41.79
2010-12-19,email,42.09
2010-12-20,search,254.43
2010-12-20,display,119.52
2010-12-20,social,45.21
2010-12-20,email,48.59
2010-12-21,search,287.87
2010-12-21,display,121.79
2010-12-21,social,44.87
2010-12-21,email,48.15
2010-12-22,search,262.9
2010-12-22,display,116.78
2010-12-22,social,51.98
